,SNaPs1,SNaPs2,SNaPs3,SNaPs4,ESCs1,ESCs2,ESCs3,ESCs4
ENSG00000102312,92,154,189,240,159,196,163,127
ENSG00000102313,0,0,0,0,0,0,0,0
ENSG00000102316,4851,5903,7095,7132,2610,3019,2665,2255
ENSG00000102317,1046,1325,1693,1655,1472,1699,1234,1566
ENSG00000102349,19,16,28,22,63,91,52,60
ENSG00000102359,22,24,34,31,0,0,0,0
ENSG00000102362,10,8,18,7,0,2,0,0
ENSG00000102383,55,77,92,68,63,41,40,39
ENSG00000102384,97,153,153,155,144,134,133,125
ENSG00000102385,13,43,30,16,12,5,2,6
ENSG00000102387,0,0,0,0,0,0,0,0
ENSG00000102390,297,348,430,430,485,557,464,437
ENSG00000102393,351,430,500,517,495,559,443,471
ENSG00000102401,421,691,870,804,279,279,213,219
ENSG00000102409,1256,1546,1852,1691,837,990,773,808
ENSG00000102445,15,22,30,27,53,54,32,36
ENSG00000102452,3,11,13,8,6,1,13,4
ENSG00000102466,32,71,48,46,6,0,8,0
ENSG00000102468,2,0,7,11,0,0,0,0
ENSG00000102471,148,228,202,233,278,408,242,281
ENSG00000102524,2,5,1,6,0,0,3,1
ENSG00000102531,543,1080,1193,1108,338,228,353,268
ENSG00000102539,0,0,0,0,0,0,0,0
ENSG00000102543,44,70,93,72,19,21,16,33
ENSG00000102547,94,190,162,174,74,57,70,82
ENSG00000102554,5,0,1,5,0,2,1,2
ENSG00000102572,167,180,232,242,172,227,187,141
ENSG00000102575,2,0,0,0,44,50,26,31
ENSG00000102580,220,224,362,334,379,470,309,363
ENSG00000102595,94,231,183,171,179,238,93,134
ENSG00000102606,194,280,398,337,473,470,373,259
ENSG00000102678,25,27,45,52,0,1,0,3
ENSG00000102683,1,2,2,1,0,0,0,0
ENSG00000102699,109,387,333,417,359,364,352,189
ENSG00000102710,719,980,1220,1169,1133,1285,835,913
ENSG00000102738,222,262,316,377,333,377,238,300
ENSG00000102743,16,39,48,61,68,93,64,56
ENSG00000102753,666,1072,1321,1199,1137,1027,854,962
ENSG00000102755,1,1,0,0,402,390,417,409
ENSG00000102760,0,0,3,2,0,0,0,0
ENSG00000102763,36,62,78,62,46,84,41,52
ENSG00000102780,44,75,72,32,59,27,34,52
ENSG00000102781,112,169,182,155,109,65,74,66
ENSG00000102786,83,146,103,147,90,86,63,97
ENSG00000102794,0,0,0,0,0,0,0,0
ENSG00000102796,43,60,93,88,63,56,66,51
ENSG00000102802,1,2,0,0,83,66,53,76
ENSG00000102804,3005,4061,4726,4621,1051,1155,886,1040
ENSG00000102805,108,270,263,260,117,119,86,95
ENSG00000102837,1,0,0,4,0,0,0,0
ENSG00000102854,0,1,0,4,1,2,0,2
ENSG00000102858,295,636,602,593,545,709,446,373
ENSG00000102870,155,214,239,250,188,178,150,129
ENSG00000102871,0,0,4,1,1,0,0,0
ENSG00000102878,0,0,0,0,2,0,0,0
ENSG00000102879,228,231,252,248,254,231,200,136
ENSG00000102882,206,336,308,372,163,204,129,175
ENSG00000102886,0,1,4,0,5,2,2,4
ENSG00000102890,0,1,0,2,9,11,5,9
ENSG00000102891,0,0,0,0,0,0,0,0
ENSG00000102893,230,551,653,659,516,410,322,251
ENSG00000102897,384,479,595,593,260,322,210,206
ENSG00000102898,2163,2602,3142,3219,2727,3111,2142,2325
ENSG00000102900,1396,1876,2168,2004,3004,3560,2434,2536
ENSG00000102901,206,236,301,319,329,408,240,179
ENSG00000102904,13,19,45,69,2,14,5,1
ENSG00000102908,289,489,442,450,234,169,292,252
ENSG00000102910,438,655,740,759,581,613,510,495
ENSG00000102921,85,147,137,140,114,121,126,103
ENSG00000102924,19,18,21,25,12,8,8,10
ENSG00000102931,617,926,953,1098,215,257,189,143
ENSG00000102934,22,18,30,34,58,57,32,14
ENSG00000102935,320,550,654,600,270,311,267,188
ENSG00000102962,0,0,0,0,0,0,1,2
ENSG00000102967,70,133,144,151,231,319,191,172
ENSG00000102970,0,0,0,1,0,1,0,0
ENSG00000102974,411,551,622,619,464,398,427,458
ENSG00000102977,257,325,349,358,468,610,343,310
ENSG00000102978,718,858,1106,1008,1195,1338,895,892
ENSG00000102981,29,37,24,37,77,105,51,41
ENSG00000102984,33,50,41,66,29,17,25,6
ENSG00000102996,8,13,30,12,26,30,25,15
ENSG00000103005,317,491,500,533,640,504,656,603
ENSG00000103018,1047,1346,1668,1607,1037,1227,943,1120
ENSG00000103021,134,203,219,236,143,144,122,106
ENSG00000103023,0,1,1,0,0,0,0,0
ENSG00000103024,98,85,108,151,409,544,334,266
ENSG00000103034,322,345,535,497,277,344,240,255
ENSG00000103035,1152,1400,1777,1644,2357,2587,1945,2050
ENSG00000103037,21,34,88,89,162,191,132,70
ENSG00000103042,100,199,200,223,394,464,301,283
ENSG00000103043,84,128,147,138,152,186,146,131
ENSG00000103044,24,24,20,15,229,210,188,167
ENSG00000103047,61,242,197,234,293,322,218,305
ENSG00000103051,1039,1441,1588,1629,911,1140,749,791
ENSG00000103056,0,2,6,8,5,0,0,0
ENSG00000103061,197,319,360,365,292,316,211,203
ENSG00000103064,79,118,151,159,416,341,354,349
ENSG00000103066,215,290,347,261,224,271,167,180
ENSG00000103067,0,0,0,0,179,159,110,95
ENSG00000103089,0,0,0,0,5,1,1,0
ENSG00000103091,75,114,131,129,182,284,177,166
ENSG00000103111,317,465,531,508,569,556,495,484
ENSG00000103121,340,423,505,505,432,428,372,383
ENSG00000103126,34,37,54,63,115,119,74,80
ENSG00000103145,30,46,50,43,60,62,53,46
ENSG00000103148,147,270,256,290,181,217,158,184
ENSG00000103150,8,38,31,16,30,27,23,19
ENSG00000103152,414,621,761,806,697,888,574,474
ENSG00000103154,71,72,105,111,5,11,6,5
ENSG00000103160,455,1125,1396,1358,925,801,637,561
ENSG00000103168,64,102,121,140,215,266,141,101
ENSG00000103174,10,11,22,36,34,31,35,11
ENSG00000103175,0,1,0,0,0,0,0,0
ENSG00000103184,3,15,3,6,71,117,84,71
ENSG00000103187,502,628,849,921,272,297,193,186
ENSG00000103194,1628,2100,2395,2409,3008,3380,2778,2886
ENSG00000103196,5,9,19,28,51,82,62,44
ENSG00000103197,230,490,601,657,413,468,332,193
ENSG00000103199,75,131,138,143,108,118,67,79
ENSG00000103200,0,0,0,0,0,0,0,0
ENSG00000103202,151,296,302,378,565,694,438,316
ENSG00000103222,131,254,267,283,336,358,330,252
ENSG00000103226,9,1,53,13,53,50,6,17
ENSG00000103227,247,319,348,312,117,118,85,69
ENSG00000103241,0,0,0,0,0,0,0,0
ENSG00000103245,186,286,318,343,215,262,146,131
ENSG00000103248,39,67,81,57,29,34,45,16
ENSG00000103249,14,14,9,15,15,34,14,13
ENSG00000103253,19,19,32,32,241,226,165,149
ENSG00000103254,4,11,16,25,40,46,22,14
ENSG00000103257,63,118,134,128,634,754,545,546
ENSG00000103260,83,93,110,103,13,13,11,9
ENSG00000103264,30,44,40,39,12,32,29,14
ENSG00000103266,57,71,92,88,66,94,76,31
ENSG00000103269,6,8,3,10,7,17,7,5
ENSG00000103274,241,270,325,310,285,334,195,199
ENSG00000103275,1766,2120,2415,2594,2450,2804,1924,1960
ENSG00000103310,0,0,0,0,0,0,0,0
ENSG00000103313,0,0,0,0,0,0,0,0
ENSG00000103316,83,117,125,154,229,224,207,172
ENSG00000103319,99,330,235,236,393,400,322,272
ENSG00000103326,3,10,2,13,29,26,21,25
ENSG00000103335,21,18,50,64,143,161,111,69
ENSG00000103342,243,372,377,355,479,377,544,448
ENSG00000103343,23,54,104,119,137,131,63,52
ENSG00000103351,299,360,385,409,148,140,104,124
ENSG00000103353,309,517,536,563,540,487,586,522
ENSG00000103355,0,0,1,3,0,2,0,0
ENSG00000103356,244,398,360,366,1024,1290,869,797
ENSG00000103363,1375,1466,1582,1615,1455,1607,1145,1050
ENSG00000103365,215,372,427,410,393,313,370,305
ENSG00000103375,1,0,0,0,0,0,0,0
ENSG00000103381,182,243,262,252,138,144,119,113
ENSG00000103404,74,94,102,127,172,141,122,145
ENSG00000103415,194,310,355,355,690,720,427,466
ENSG00000103423,536,521,743,706,1317,1591,976,1136
ENSG00000103426,0,0,0,9,10,34,0,0
ENSG00000103429,616,827,975,945,1321,1457,1197,1213
ENSG00000103449,72,120,141,141,239,194,180,180
ENSG00000103460,141,185,214,217,64,82,70,62
ENSG00000103472,0,0,6,4,3,3,5,2
ENSG00000103479,63,105,113,120,84,76,47,33
ENSG00000103485,120,528,839,933,1359,1624,867,366
ENSG00000103489,51,93,164,122,143,153,111,134
ENSG00000103490,2,5,2,9,266,283,222,171
ENSG00000103494,76,186,223,192,108,105,112,114
ENSG00000103495,108,118,128,186,154,161,108,141
ENSG00000103496,23,47,57,76,50,87,53,63
ENSG00000103502,53,103,106,102,86,119,107,93
ENSG00000103507,841,1157,1292,1232,1248,1509,1089,1084
ENSG00000103510,56,73,121,113,50,69,56,44
ENSG00000103512,118,219,282,203,421,490,397,287
ENSG00000103522,17,22,8,30,19,23,28,38
ENSG00000103528,51,60,85,69,17,26,2,8
ENSG00000103534,22,27,29,27,23,2,12,15
ENSG00000103540,241,480,594,575,229,168,167,176
ENSG00000103544,748,959,1162,1100,776,782,709,593
ENSG00000103546,0,0,0,0,1,0,6,3
ENSG00000103549,364,653,807,751,510,624,404,395
ENSG00000103550,417,504,686,731,1034,1268,872,759
ENSG00000103569,0,0,0,0,0,0,0,0
ENSG00000103591,768,1071,1114,1207,941,921,698,855
ENSG00000103599,42,78,85,89,22,17,8,16
ENSG00000103642,40,34,51,34,61,65,55,45
ENSG00000103647,21,33,32,44,10,12,8,8
ENSG00000103653,42,83,106,117,124,140,85,35
ENSG00000103657,187,333,389,414,203,171,122,183
ENSG00000103671,177,219,261,303,223,261,168,167
ENSG00000103707,158,133,206,200,307,338,235,220
ENSG00000103710,1,4,3,9,31,19,33,36
ENSG00000103723,19,83,86,82,78,100,55,66
ENSG00000103740,3,10,25,3,21,16,25,29
ENSG00000103742,91,117,154,156,60,51,50,65
ENSG00000103769,1921,2283,2500,2585,2153,2282,1694,2143
ENSG00000103811,127,170,197,197,273,396,263,282
ENSG00000103832,0,0,0,0,0,0,0,0
ENSG00000103852,199,246,369,374,226,267,196,160
ENSG00000103855,823,1428,1586,1625,1371,1519,1090,1028
ENSG00000103876,73,115,131,123,171,188,143,157
ENSG00000103888,0,2,1,4,4,25,8,3
ENSG00000103932,807,1034,1249,1330,1687,1728,1528,1370
ENSG00000103942,50,110,97,123,38,43,46,77
ENSG00000103966,28,111,188,175,528,706,412,225
ENSG00000103978,368,403,464,527,396,443,346,385
ENSG00000103994,616,954,1144,1163,938,722,702,699
ENSG00000103995,110,155,182,176,164,209,117,137
ENSG00000104043,0,0,0,0,0,2,0,0
ENSG00000104044,26,11,80,56,2,0,0,2
ENSG00000104047,201,272,319,315,273,371,207,252
ENSG00000104055,0,0,0,0,0,0,0,0
ENSG00000104059,9,20,16,25,21,17,13,12
ENSG00000104064,422,547,617,620,784,840,540,784
ENSG00000104067,367,587,729,662,673,610,601,515
ENSG00000104081,70,113,117,129,57,36,36,44
ENSG00000104093,139,253,274,236,77,74,54,30
ENSG00000104112,96,115,139,124,597,695,621,661
ENSG00000104129,132,170,221,247,184,218,113,149
ENSG00000104131,78,168,163,214,251,315,183,155
ENSG00000104133,231,495,488,572,297,236,309,292
ENSG00000104140,1,0,2,3,4,10,3,12
ENSG00000104142,67,168,175,192,352,398,267,136
ENSG00000104147,388,470,602,550,537,629,385,447
ENSG00000104154,45,55,88,71,0,0,0,0
ENSG00000104164,227,548,565,581,316,386,299,268
ENSG00000104177,145,325,261,329,157,167,146,153
ENSG00000104205,7,8,5,3,61,63,31,61
ENSG00000104213,23,12,26,24,50,45,41,43
ENSG00000104218,88,116,140,124,92,92,77,58
ENSG00000104219,54,105,93,101,56,62,73,74
ENSG00000104221,192,243,309,313,169,211,156,207
ENSG00000104228,101,159,170,195,229,240,223,171
ENSG00000104231,253,256,346,372,372,469,273,407
ENSG00000104237,0,0,0,0,0,0,0,0
ENSG00000104267,149,174,219,191,73,82,58,36
ENSG00000104290,1532,3144,3672,3412,996,899,702,745
ENSG00000104299,281,355,377,399,314,306,299,292
ENSG00000104312,90,204,199,231,414,412,368,340
ENSG00000104313,38,84,101,94,0,5,3,3
ENSG00000104320,175,369,381,370,482,451,374,318
ENSG00000104321,0,2,1,0,11,1,1,0
ENSG00000104324,28,37,74,65,12,23,18,11
ENSG00000104325,754,849,920,984,268,347,232,295
ENSG00000104327,133,166,137,126,456,517,367,487
ENSG00000104331,118,173,210,221,95,52,115,103
ENSG00000104332,642,778,892,926,3993,3995,3893,4170
ENSG00000104341,452,562,787,783,1388,1331,1206,918
ENSG00000104343,276,476,513,494,487,446,428,569
ENSG00000104356,100,136,147,131,150,173,150,127
ENSG00000104361,0,0,1,10,7,4,5,2
ENSG00000104365,32,55,80,83,100,122,52,45
ENSG00000104368,212,297,345,262,65,45,52,80
ENSG00000104369,20,9,8,13,158,144,90,125
ENSG00000104371,2,2,9,4,0,0,0,0
ENSG00000104375,232,309,271,315,278,376,208,283
ENSG00000104381,354,558,750,701,586,753,497,587
ENSG00000104388,151,199,248,274,218,286,192,210
ENSG00000104408,4332,5356,6185,6370,5614,5975,5526,6440
ENSG00000104412,402,492,648,602,437,512,376,414
ENSG00000104413,0,1,0,0,1367,1294,1279,1195
ENSG00000104415,0,0,0,0,0,0,0,0
ENSG00000104419,40,65,54,45,8,9,5,8
ENSG00000104427,111,196,196,196,131,123,79,111
ENSG00000104432,0,0,1,0,0,3,0,0
ENSG00000104435,521,548,661,603,114,91,90,106
ENSG00000104442,453,661,717,688,662,699,609,782
ENSG00000104447,112,210,243,257,47,49,51,53
ENSG00000104450,14,21,20,24,2,4,1,2
ENSG00000104472,125,242,252,257,381,430,277,360
ENSG00000104490,868,1305,1484,1395,25,18,20,23
ENSG00000104497,21,40,56,42,62,39,59,80
ENSG00000104499,0,0,0,0,0,0,0,0
ENSG00000104517,249,441,502,411,529,439,524,422
ENSG00000104518,13,6,20,25,146,199,103,99
ENSG00000104522,282,327,427,404,717,813,517,489
ENSG00000104524,146,171,230,231,305,338,230,239
ENSG00000104529,3426,3854,4818,4964,3947,4699,3199,2938
ENSG00000104537,1,0,0,0,0,0,0,0
ENSG00000104549,2080,2557,3266,3382,2969,3392,2318,2531
ENSG00000104611,2,0,6,5,55,42,17,34
ENSG00000104613,373,512,720,654,778,817,524,601
ENSG00000104626,151,319,361,370,418,365,295,304
ENSG00000104635,132,432,439,519,4615,4821,3256,2015
ENSG00000104643,93,169,158,165,547,457,315,450
ENSG00000104660,608,936,980,1015,1010,1047,753,1003
ENSG00000104671,294,330,461,448,245,315,207,314
ENSG00000104679,588,604,694,750,277,355,192,247
ENSG00000104687,78,115,137,119,162,153,176,141
ENSG00000104689,1,0,1,0,18,12,11,21
ENSG00000104691,46,53,66,51,59,76,42,62
ENSG00000104695,153,151,227,240,132,134,125,149
ENSG00000104714,86,86,96,135,189,279,176,173
ENSG00000104722,1216,1549,1611,1785,286,314,205,228
ENSG00000104723,261,265,360,382,130,130,112,170
ENSG00000104728,63,153,121,146,283,255,201,174
ENSG00000104731,166,195,223,226,341,490,318,246
ENSG00000104738,1681,3041,3600,3499,6352,7078,5003,4445
ENSG00000104755,0,0,0,0,0,0,0,0
ENSG00000104756,94,173,170,200,102,88,97,142
ENSG00000104760,0,1,0,0,0,0,0,0
ENSG00000104763,486,626,710,670,770,923,575,680
ENSG00000104765,3301,5449,6252,6050,971,1115,964,968
ENSG00000104774,178,323,461,547,458,489,287,247
ENSG00000104783,0,0,1,0,17,8,9,6
ENSG00000104804,0,2,0,0,0,0,2,5
ENSG00000104805,595,912,1001,964,779,967,715,638
ENSG00000104808,13,18,24,25,26,12,12,10
ENSG00000104812,440,717,779,743,596,639,464,410
ENSG00000104814,9,7,14,12,53,70,33,41
ENSG00000104818,0,0,0,2,4,4,0,0
ENSG00000104823,1329,1706,1849,1878,1518,1769,1282,1137
ENSG00000104824,303,361,456,470,314,398,415,290
ENSG00000104825,15,32,72,59,126,146,85,60
ENSG00000104826,0,0,0,0,0,0,0,1
ENSG00000104827,0,0,0,0,4,0,1,0
ENSG00000104833,55,81,110,102,365,439,321,292
ENSG00000104835,281,306,409,382,719,749,550,451
ENSG00000104848,3,0,0,1,1,0,3,2
ENSG00000104852,106,127,133,164,156,192,136,143
ENSG00000104853,56,77,119,97,177,184,117,89
ENSG00000104856,0,3,7,4,7,8,4,9
ENSG00000104859,15,22,22,35,34,41,14,13
ENSG00000104863,24,29,42,30,32,22,12,11
ENSG00000104866,0,7,1,6,5,6,3,0
ENSG00000104870,68,110,143,137,181,181,142,125
ENSG00000104872,880,1002,1293,1212,1163,1220,1042,996
ENSG00000104879,3,0,3,0,0,0,0,0
ENSG00000104880,62,94,78,131,122,162,91,57
ENSG00000104881,7,17,17,22,33,60,33,26
ENSG00000104883,10,28,41,55,27,32,18,14
ENSG00000104884,249,486,526,602,690,888,582,526
ENSG00000104885,41,61,101,74,107,132,74,55
ENSG00000104886,532,942,1113,1184,1465,1850,1136,847
ENSG00000104888,3,0,5,5,8,1,1,2
ENSG00000104889,1130,1336,1656,1558,1429,1645,1110,1114
ENSG00000104892,0,0,0,0,1,6,3,3
ENSG00000104894,8,14,19,10,3,5,7,2
ENSG00000104897,50,63,87,64,91,107,68,59
ENSG00000104899,1,0,3,0,1,3,0,0
ENSG00000104901,54,43,65,74,31,39,31,20
ENSG00000104903,0,0,0,0,0,0,0,0
ENSG00000104904,4010,4524,5591,5528,8327,10033,6253,6352
ENSG00000104907,262,321,429,411,1082,1333,827,816
ENSG00000104915,94,138,161,195,175,210,100,101
ENSG00000104918,0,0,0,0,0,0,0,0
ENSG00000104921,0,0,0,0,0,0,0,1
ENSG00000104936,7,17,26,17,14,14,14,16
ENSG00000104938,0,0,0,0,0,0,0,0
ENSG00000104941,0,0,0,1,2,0,0,1
ENSG00000104946,31,77,74,97,99,115,90,71
ENSG00000104951,2,6,16,4,12,24,11,10
ENSG00000104953,11,5,10,9,19,27,16,14
ENSG00000104957,157,228,303,308,116,131,103,92
ENSG00000104960,512,674,811,759,511,574,427,329
ENSG00000104964,37,58,51,57,84,137,88,73
ENSG00000104967,239,394,398,451,120,101,97,83
ENSG00000104969,802,1090,1250,1309,1317,1587,1092,923
ENSG00000104970,1,0,0,0,0,0,0,0
ENSG00000104972,0,0,0,0,0,0,0,0
ENSG00000104973,25,69,81,83,59,64,25,16
ENSG00000104974,0,0,0,0,0,0,0,0
ENSG00000104976,19,45,57,57,49,78,60,38
ENSG00000104979,642,682,848,866,929,1029,680,690
ENSG00000104980,140,345,555,589,1264,1615,980,528
ENSG00000104983,6,9,1,1,4,0,3,4
ENSG00000104998,24,35,25,50,76,48,61,46
ENSG00000105011,632,851,1079,959,618,689,536,551
ENSG00000105048,80,77,100,104,554,616,422,404
ENSG00000105053,365,394,511,461,333,322,282,234
ENSG00000105058,1396,1624,2068,2146,1293,1559,1195,1228
ENSG00000105063,41,84,100,100,100,134,90,98
ENSG00000105072,65,64,135,80,28,61,50,51
ENSG00000105085,6,13,13,2,8,9,4,8
ENSG00000105088,76,78,118,109,264,200,149,130
ENSG00000105122,1,1,0,0,0,0,0,0
ENSG00000105127,170,269,283,248,436,353,264,296
ENSG00000105131,3,0,8,6,605,685,514,228
ENSG00000105135,836,914,1266,1219,1089,1321,842,733
ENSG00000105136,117,152,186,177,182,163,143,148
ENSG00000105137,5,8,4,7,8,12,3,4
ENSG00000105141,0,0,0,0,0,0,0,0
ENSG00000105143,23,17,38,33,32,50,34,40
ENSG00000105146,2,2,2,2,21,16,15,16
ENSG00000105171,320,328,387,456,337,382,272,292
ENSG00000105173,6,17,23,28,80,62,50,73
ENSG00000105176,89,118,139,99,106,142,112,119
ENSG00000105185,437,536,689,652,691,705,467,638
ENSG00000105186,156,471,610,564,1004,1076,840,651
ENSG00000105193,6303,7208,8511,8726,10128,11534,7767,7755
ENSG00000105197,616,705,902,977,2013,2235,1414,1321
ENSG00000105198,0,0,0,0,0,0,0,0
ENSG00000105202,722,1036,1490,1628,2529,2543,1853,1509
ENSG00000105204,69,101,98,122,12,15,7,8
ENSG00000105205,0,0,0,0,2,4,1,4
ENSG00000105219,1,0,0,0,0,4,2,0
ENSG00000105220,6010,8173,8794,9164,8888,10473,8260,7411
ENSG00000105221,100,192,262,282,277,302,210,145
ENSG00000105223,2379,3128,3574,3656,2425,2994,1946,1755
ENSG00000105227,6,13,15,18,20,34,16,14
ENSG00000105229,33,94,187,229,298,393,158,70
ENSG00000105245,20,18,20,21,16,16,15,10
ENSG00000105246,0,0,1,0,2,3,7,7
ENSG00000105248,151,166,186,200,192,212,188,191
ENSG00000105251,6,17,24,23,16,16,14,9
ENSG00000105254,275,587,936,1156,904,1059,577,299
ENSG00000105255,267,417,559,600,641,773,482,362
ENSG00000105258,604,636,750,801,1042,1151,765,715
ENSG00000105261,0,0,0,0,0,0,0,1
ENSG00000105270,318,521,576,586,105,87,101,56
ENSG00000105278,144,150,140,169,186,231,159,171
ENSG00000105281,110,228,425,535,2421,2964,1513,819
ENSG00000105287,52,108,66,126,171,192,141,117
ENSG00000105289,2,4,3,12,34,38,29,16
ENSG00000105290,329,473,498,529,180,173,172,142
ENSG00000105298,2,11,19,26,18,31,13,14
ENSG00000105321,6,8,7,6,8,14,5,10
ENSG00000105323,759,1018,1079,1074,806,896,698,768
ENSG00000105325,49,59,107,79,46,40,47,27
ENSG00000105327,0,1,8,3,0,1,0,0
ENSG00000105329,0,0,2,3,8,3,0,5
ENSG00000105339,18,11,9,8,26,15,20,15
ENSG00000105341,817,1032,1137,1084,1136,1308,864,950
ENSG00000105352,0,0,0,0,0,0,0,0
ENSG00000105355,1226,1712,1754,1961,1489,1609,1297,1078
ENSG00000105357,1,6,10,3,22,39,45,23
ENSG00000105364,204,458,485,518,715,754,512,398
ENSG00000105366,0,0,0,0,0,0,0,0
ENSG00000105369,0,3,1,1,0,3,3,3
ENSG00000105370,3,9,8,2,0,0,0,0
ENSG00000105371,1,0,1,0,30,32,22,23
ENSG00000105372,7895,8700,9836,9909,10633,12072,7846,7492
ENSG00000105373,81,239,311,273,275,350,226,196
ENSG00000105374,0,0,3,0,0,0,0,0
ENSG00000105376,0,0,0,0,4,10,2,2
ENSG00000105379,431,525,647,618,388,427,293,257
ENSG00000105383,0,2,0,0,0,0,0,0
ENSG00000105388,0,0,0,0,0,0,0,1
ENSG00000105392,4,10,5,4,2,1,7,0
ENSG00000105393,717,703,949,925,1203,1413,986,1084
ENSG00000105397,128,217,292,252,207,202,142,151
ENSG00000105398,0,0,0,0,0,1,0,0
ENSG00000105401,930,1111,1363,1432,2133,2512,1563,1458
ENSG00000105402,256,323,340,349,320,366,234,233
ENSG00000105404,917,980,1163,1125,1319,1411,933,861
ENSG00000105409,68,159,159,236,188,218,174,154
ENSG00000105419,124,160,173,203,73,71,57,50
ENSG00000105426,557,934,1332,1385,1218,1245,738,441
ENSG00000105427,35,43,40,33,97,111,84,45
ENSG00000105428,1,0,1,0,0,0,0,0
ENSG00000105429,213,399,434,468,295,345,267,187
ENSG00000105438,1125,1634,1886,1828,1416,1577,1185,1099
ENSG00000105443,195,433,561,550,205,260,164,121
ENSG00000105447,351,509,457,479,1321,1442,1075,1028
ENSG00000105464,5,3,6,4,22,23,17,5
ENSG00000105467,1,7,8,0,0,1,1,2
ENSG00000105472,34,54,42,35,33,31,17,22
ENSG00000105479,1,8,6,14,6,8,7,8
ENSG00000105483,231,461,506,408,148,127,143,143
ENSG00000105486,1148,1502,1705,1654,1153,1439,942,817
ENSG00000105492,0,0,0,0,0,0,0,0
ENSG00000105497,23,42,35,35,36,23,17,14
ENSG00000105499,2,1,3,5,90,92,72,63
ENSG00000105501,0,0,0,0,0,0,0,0
ENSG00000105507,0,0,0,0,0,0,0,0
ENSG00000105509,0,0,0,0,7,6,3,6
ENSG00000105514,162,246,272,258,258,297,174,181
ENSG00000105516,17,12,29,24,34,19,22,9
ENSG00000105518,278,374,473,466,580,715,456,445
ENSG00000105519,5,2,8,6,6,6,1,3
ENSG00000105520,43,119,170,169,112,116,92,53
ENSG00000105523,0,0,0,0,0,2,0,0
ENSG00000105538,0,1,2,1,12,11,12,7
ENSG00000105549,0,0,0,0,0,0,0,0
ENSG00000105550,0,0,0,0,1,0,1,1
ENSG00000105552,180,262,283,308,403,496,354,282
ENSG00000105556,14,34,40,46,44,58,51,34
ENSG00000105559,31,44,59,69,21,17,14,17
ENSG00000105568,5106,6624,7404,7814,6190,7343,5325,4910
ENSG00000105576,381,520,624,546,444,627,464,456
ENSG00000105583,1005,1083,1324,1341,659,738,603,628
ENSG00000105605,24,34,46,36,37,39,23,20
ENSG00000105607,203,268,306,293,670,888,655,495
ENSG00000105609,0,0,0,0,0,0,0,0
ENSG00000105610,0,0,0,0,1,2,3,0
ENSG00000105612,256,299,375,379,499,586,420,386
ENSG00000105613,17,38,51,50,51,76,51,31
ENSG00000105617,47,61,53,56,29,42,34,17
ENSG00000105618,782,1047,1183,1259,1230,1235,997,806
ENSG00000105619,75,78,112,93,73,102,79,59
ENSG00000105639,94,193,148,117,219,234,186,198
ENSG00000105640,6386,7227,8182,8514,10300,11930,8008,6876
ENSG00000105641,2,1,1,2,28,26,23,37
ENSG00000105642,0,5,2,8,5,10,3,0
ENSG00000105643,11,14,20,32,25,21,4,12
ENSG00000105647,49,66,54,72,74,84,53,32
ENSG00000105649,23,33,60,55,70,88,41,53
ENSG00000105650,0,2,0,2,28,25,22,21
ENSG00000105655,3183,4462,5031,4963,2107,2683,1824,1476
ENSG00000105656,43,64,100,89,120,163,97,116
ENSG00000105662,60,65,120,122,31,44,9,20
ENSG00000105664,0,1,2,0,0,3,2,2
ENSG00000105668,8,4,10,13,38,51,31,30
ENSG00000105669,1131,1397,1663,1880,1413,1691,1054,953
ENSG00000105671,334,409,372,438,475,593,497,397
ENSG00000105672,9,7,8,7,3,2,4,0
ENSG00000105675,1,9,2,6,2,10,10,5
ENSG00000105676,360,493,645,614,1307,1482,1009,997
ENSG00000105677,309,502,639,777,1319,1381,869,797
ENSG00000105679,0,3,0,2,1,0,2,0
ENSG00000105694,0,0,0,0,1,0,0,0
ENSG00000105695,0,0,0,0,5,0,2,6
ENSG00000105696,2,41,62,111,130,163,101,9
ENSG00000105697,0,1,0,0,0,0,0,0
ENSG00000105698,24,50,98,89,52,62,27,35
ENSG00000105699,67,99,118,118,444,573,392,352
ENSG00000105700,424,571,675,734,873,983,758,696
ENSG00000105701,189,358,409,422,546,530,428,331
ENSG00000105705,143,242,225,248,317,314,216,255
ENSG00000105707,3,0,0,8,252,224,164,174
ENSG00000105708,121,196,287,257,151,160,128,179
ENSG00000105711,0,0,0,0,3,5,4,0
ENSG00000105717,10,22,38,48,8,14,9,3
ENSG00000105722,18,22,38,28,29,27,24,23
ENSG00000105723,13,16,26,21,17,20,15,23
ENSG00000105726,70,76,145,111,153,179,139,87
ENSG00000105732,135,256,323,290,429,558,327,260
ENSG00000105737,14,8,11,21,61,54,33,19
ENSG00000105738,45,73,59,99,129,106,105,64
ENSG00000105750,190,252,274,268,196,197,219,266
ENSG00000105755,269,287,382,377,277,305,209,219
ENSG00000105767,10,14,11,20,2,1,4,3
ENSG00000105771,54,134,144,122,73,91,56,37
ENSG00000105778,131,298,338,337,460,327,329,246
ENSG00000105784,5,11,6,17,5,2,5,1
ENSG00000105792,5,9,20,8,11,19,21,41
ENSG00000105793,81,125,110,104,118,166,119,142
ENSG00000105808,29,116,133,110,32,29,14,14
ENSG00000105810,474,806,965,869,147,127,148,151
ENSG00000105819,1202,1570,1783,1796,1767,1928,1365,1574
ENSG00000105821,150,147,204,185,396,442,318,375
